ADD_SEQ,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,122 HOUGANG AVENUE 1 HDB-HOUGANG SINGAPORE 530122,122,HDB-HOUGANG,1.353744081,103.8861593,103.8861593,530122,HOUGANG AVENUE 1,HDB-HOUGANG,33880.57621,37315.72234,122 HOUGANG AVE 1
0,453 PASIR RIS DRIVE 6 HDB-PASIR RIS SINGAPORE 510453,453,HDB-PASIR RIS,1.371847278,103.9573733,103.9573733,510453,PASIR RIS DRIVE 6,HDB-PASIR RIS,41805.78709,39317.77542,453 PASIR RIS DR 6
1,453 PASIR RIS DRIVE 6 HDB PUBLIC SHELTERS SINGAPORE 510453,453,HDB PUBLIC SHELTERS,1.371866535,103.957401,103.957401,510453,PASIR RIS DRIVE 6,HDB PUBLIC SHELTERS,41808.87001,39319.90486,453 PASIR RIS DR 6
2,453 PASIR RIS DRIVE 6 Knowledge Park Campus LLP SINGAPORE 510453,453,Knowledge Park Campus LLP,1.371847269,103.9573733,103.9573733,510453,PASIR RIS DRIVE 6,Knowledge Park Campus LLP,41805.7877,39317.77439,453 PASIR RIS DR 6
0,410B FERNVALE ROAD CORAL SPRING SINGAPORE 792410,410B,CORAL SPRING,1.389789389,103.8760967,103.8760967,792410,FERNVALE ROAD,CORAL SPRING,32760.64916,41301.40819,410B FERNVALE RD
0,59A GEYLANG BAHRU HDB-KALLANG/WHAMPOA SINGAPORE 330059,59A,HDB-KALLANG/WHAMPOA,1.322653854,103.8682269,103.8682269,330059,GEYLANG BAHRU,HDB-KALLANG/WHAMPOA,31884.95111,33877.88753,59A GEYLANG BAHRU
0,124 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470124,124,EUNOS SPRING,1.332625423,103.9101609,103.9101609,470124,BEDOK RESERVOIR ROAD,EUNOS SPRING,36551.74974,34980.59852,124 BEDOK RESERVOIR RD
1,124 BEDOK RESERVOIR ROAD DBS Bedok Reservoir Road SINGAPORE 470124,124,DBS Bedok Reservoir Road,1.332625423,103.9101609,103.9101609,470124,BEDOK RESERVOIR ROAD,DBS Bedok Reservoir Road,36551.74971,34980.59849,124 BEDOK RESERVOIR RD
0,668A WOODLANDS RING ROAD SINGAPORE 731668,668A,NIL,1.43860167,103.7982518,103.7982518,731668,WOODLANDS RING ROAD,668A WOODLANDS RING ROAD SINGAPORE 731668,24097.6078,46698.81073,668 WOODLANDS RING RD
1,668 WOODLANDS RING ROAD HDB-WOODLANDS SINGAPORE 730668,668,HDB-WOODLANDS,1.439024834,103.7983081,103.7983081,730668,WOODLANDS RING ROAD,HDB-WOODLANDS,24103.87242,46745.60203,668 WOODLANDS RING RD
0,109 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080109,109,SPOTTISWOODE PARK ESTATE,1.274031873,103.8366527,103.8366527,80109,SPOTTISWOODE PARK ROAD,SPOTTISWOODE PARK ESTATE,28371.0666,28501.49237,109 SPOTTISWOODE PK RD
0,122B SENGKANG EAST WAY RIVERVALE BANK SINGAPORE 542122,122B,RIVERVALE BANK,1.387164898,103.9065344,103.9065344,542122,SENGKANG EAST WAY,RIVERVALE BANK,36147.98053,41011.28821,122B SENGKANG EAST WAY
0,505 BEDOK NORTH AVENUE 3 KAKI BUKIT VILLE SINGAPORE 460505,505,KAKI BUKIT VILLE,1.331828382,103.9333383,103.9333383,460505,BEDOK NORTH AVENUE 3,KAKI BUKIT VILLE,39131.15717,34892.55818,505 BEDOK NTH AVE 3
0,272C SENGKANG CENTRAL ATRINA SINGAPORE 543272,272C,ATRINA,1.384273327,103.893821,103.893821,543272,SENGKANG CENTRAL,ATRINA,34733.14815,40691.51277,272C SENGKANG CTRL
0,141A LORONG 2 TOA PAYOH MULTI STOREY CAR PARK SINGAPORE 310141,141A,MULTI STOREY CAR PARK,1.335225196,103.8456037,103.8456037,310141,LORONG 2 TOA PAYOH,MULTI STOREY CAR PARK,29367.20925,35267.93821,141 LOR 2 TOA PAYOH
1,141 LORONG 2 TOA PAYOH HDB-TOA PAYOH SINGAPORE 311141,141,HDB-TOA PAYOH,1.33583762,103.8457312,103.8457312,311141,LORONG 2 TOA PAYOH,HDB-TOA PAYOH,29381.3941,35335.65689,141 LOR 2 TOA PAYOH
0,203B COMPASSVALE ROAD HDB-SENGKANG SINGAPORE 542203,203B,HDB-SENGKANG,1.386899098,103.8947717,103.8947717,542203,COMPASSVALE ROAD,HDB-SENGKANG,34838.94577,40981.86019,203B COMPASSVALE RD
0,275A COMPASSVALE LINK ASPELLA SINGAPORE 541275,275A,ASPELLA,1.382874162,103.8946037,103.8946037,541275,COMPASSVALE LINK,ASPELLA,34820.26071,40536.80242,275A COMPASSVALE LINK
1,275A COMPASSVALE LINK FAITH EDUCARE CENTRE @BUANGKOK PTE. LTD. SINGAPORE 541275,275A,FAITH EDUCARE CENTRE @BUANGKOK PTE. LTD.,1.382910291,103.8944528,103.8944528,541275,COMPASSVALE LINK,FAITH EDUCARE CENTRE @BUANGKOK PTE. LTD.,34803.46601,40540.79689,275A COMPASSVALE LINK
0,52 HAVELOCK ROAD HAVELOCK VIEW SINGAPORE 161052,52,HAVELOCK VIEW,1.28951776,103.8284671,103.8284671,161052,HAVELOCK ROAD,HAVELOCK VIEW,27460.06972,30213.84204,52 HAVELOCK RD
1,52A HAVELOCK ROAD HAVELOCK VIEW SINGAPORE 162052,52A,HAVELOCK VIEW,1.289849378,103.8286521,103.8286521,162052,HAVELOCK ROAD,HAVELOCK VIEW,27480.65994,30250.51056,52 HAVELOCK RD
0,347B YISHUN AVENUE 11 ADORA GREEN SINGAPORE 762347,347B,ADORA GREEN,1.427495093,103.8423771,103.8423771,762347,YISHUN AVENUE 11,ADORA GREEN,29008.08365,45470.67337,347B YISHUN AVE 11
0,651 YISHUN AVENUE 4 NEE SOON CENTRAL VIEW SINGAPORE 760651,651,NEE SOON CENTRAL VIEW,1.423365101,103.8391035,103.8391035,760651,YISHUN AVENUE 4,NEE SOON CENTRAL VIEW,28643.78022,45013.99841,651 YISHUN AVE 4
0,202 MARSILING DRIVE MARSILING ADMIRALTY PARK SINGAPORE 730202,202,MARSILING ADMIRALTY PARK,1.443151211,103.7751648,103.7751648,730202,MARSILING DRIVE,MARSILING ADMIRALTY PARK,21528.387,47201.92897,202 MARSILING DR
0,320 HOUGANG AVENUE 5 HDB-HOUGANG SINGAPORE 530320,320,HDB-HOUGANG,1.366269896,103.8980294,103.8980294,530320,HOUGANG AVENUE 5,HDB-HOUGANG,35201.54844,38700.79602,320 HOUGANG AVE 5
0,8 MARINE TERRACE MARINE TERRACE WALK SINGAPORE 440008,8,MARINE TERRACE WALK,1.304364656,103.9161086,103.9161086,440008,MARINE TERRACE,MARINE TERRACE WALK,37213.77726,31855.68617,8 MARINE TER
0,614 ANG MO KIO AVENUE 4 HDB-ANG MO KIO SINGAPORE 560614,614,HDB-ANG MO KIO,1.377969305,103.8392171,103.8392171,560614,ANG MO KIO AVENUE 4,HDB-ANG MO KIO,28656.43711,39994.36111,614 ANG MO KIO AVE 4
0,259A BUKIT BATOK EAST AVENUE 4 SINGAPORE 651259,259A,NIL,1.350737307,103.7599454,103.7599454,651259,BUKIT BATOK EAST AVENUE 4,259A BUKIT BATOK EAST AVENUE 4 SINGAPORE 651259,19834.38432,36983.3079,259 BT BATOK EAST AVE 4
1,259 BUKIT BATOK EAST AVENUE 4 HDB-BUKIT BATOK SINGAPORE 650259,259,HDB-BUKIT BATOK,1.350858597,103.7597611,103.7597611,650259,BUKIT BATOK EAST AVENUE 4,HDB-BUKIT BATOK,19813.8797,36996.72022,259 BT BATOK EAST AVE 4
0,28A KELANTAN ROAD SINGAPORE 201028,28A,NIL,1.306163112,103.8574567,103.8574567,201028,KELANTAN ROAD,28A KELANTAN ROAD SINGAPORE 201028,30686.34982,32054.41159,28 KELANTAN RD
1,28 KELANTAN ROAD KELANTAN COURT SINGAPORE 200028,28,KELANTAN COURT,1.30581076,103.8574796,103.8574796,200028,KELANTAN ROAD,KELANTAN COURT,30688.89965,32015.45037,28 KELANTAN RD
0,43 LORONG 5 TOA PAYOH EAST PAYOH SPRING SINGAPORE 310043,43,EAST PAYOH SPRING,1.335906923,103.8543146,103.8543146,310043,LORONG 5 TOA PAYOH,EAST PAYOH SPRING,30336.63499,35343.32664,43 LOR 5 TOA PAYOH
1,43 LORONG 5 TOA PAYOH HDB PUBLIC SHELTERS SINGAPORE 310043,43,HDB PUBLIC SHELTERS,1.335938753,103.8542882,103.8542882,310043,LORONG 5 TOA PAYOH,HDB PUBLIC SHELTERS,30333.69469,35346.84611,43 LOR 5 TOA PAYOH
2,43 LORONG 5 TOA PAYOH PCF Toa Payoh East Student Care Centre SINGAPORE 310043,43,PCF Toa Payoh East Student Care Centre,1.335985407,103.8542418,103.8542418,310043,LORONG 5 TOA PAYOH,PCF Toa Payoh East Student Care Centre,30328.5357,35352.0049,43 LOR 5 TOA PAYOH
0,101 TOWNER ROAD HDB-KALLANG/WHAMPOA SINGAPORE 322101,101,HDB-KALLANG/WHAMPOA,1.31942539,103.8610875,103.8610875,322101,TOWNER ROAD,HDB-KALLANG/WHAMPOA,31090.40397,33520.8905,101 TOWNER RD
1,101 TOWNER ROAD DBS Towner Road Branch SINGAPORE 322101,101,DBS Towner Road Branch,1.319432746,103.861091,103.861091,322101,TOWNER ROAD,DBS Towner Road Branch,31090.79839,33521.7038,101 TOWNER RD
2,101 TOWNER ROAD TOWNER POST OFFICE SINGAPORE 322101,101,TOWNER POST OFFICE,1.319412643,103.861077,103.861077,322101,TOWNER ROAD,TOWNER POST OFFICE,31089.24501,33519.48098,101 TOWNER RD
3,101 TOWNER ROAD UOB Towner Road SINGAPORE 322101,101,UOB Towner Road,1.31942539,103.8610875,103.8610875,322101,TOWNER ROAD,UOB Towner Road,31090.404,33520.8905,101 TOWNER RD
4,101 TOWNER ROAD OCBC Towner Road - 7 Eleven SINGAPORE 322101,101,OCBC Towner Road - 7 Eleven,1.319432746,103.861091,103.861091,322101,TOWNER ROAD,OCBC Towner Road - 7 Eleven,31090.79839,33521.7038,101 TOWNER RD
0,581 WOODLANDS DRIVE 16 HDB-WOODLANDS SINGAPORE 730581,581,HDB-WOODLANDS,1.4298903,103.7964039,103.7964039,730581,WOODLANDS DRIVE 16,HDB-WOODLANDS,23891.9482,45735.55433,581 WOODLANDS DR 16
1,581 WOODLANDS DRIVE 16 PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 581 (KN) SINGAPORE 730581,581,PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 581 (KN),1.4298903,103.7964039,103.7964039,730581,WOODLANDS DRIVE 16,PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 581 (KN),23891.9482,45735.5543,581 WOODLANDS DR 16
0,536 JELAPANG ROAD PANSHAN GROVE SINGAPORE 670536,536,PANSHAN GROVE,1.384221831,103.7637669,103.7637669,670536,JELAPANG ROAD,PANSHAN GROVE,20259.78709,40685.8463,536 JELAPANG RD
0,144 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470144,144,EUNOS SPRING,1.334869769,103.9125268,103.9125268,470144,BEDOK RESERVOIR ROAD,EUNOS SPRING,36815.04754,35228.77531,144 BEDOK RESERVOIR RD
0,442 SIN MING AVENUE SIN MING COURT SINGAPORE 570442,442,SIN MING COURT,1.359235757,103.8323688,103.8323688,570442,SIN MING AVENUE,SIN MING COURT,27894.30578,37922.89985,442 SIN MING AVE
0,578A WOODLANDS DRIVE 16 MULTI STOREY CAR PARK SINGAPORE 731578,578A,MULTI STOREY CAR PARK,1.431374149,103.796677,103.796677,731578,WOODLANDS DRIVE 16,MULTI STOREY CAR PARK,23922.33901,45899.63041,578 WOODLANDS DR 16
