,address,url
0,196B Boon Lay Drive,/singapore/sale/property/196b-boon-lay-drive-hdb-KrQRUbyaHZTEKxdoFQNBKF
1,433 Clementi Avenue 3,/singapore/sale/property/433-clementi-avenue-3-hdb-Net83u797XekAjXxMR5gh
2,347A Yishun Avenue 11,/singapore/sale/property/347a-yishun-avenue-11-hdb-vuujtEqY4BG4g3WtVSz4Kk
3,108 Serangoon North Avenue 1,/singapore/sale/property/108-serangoon-north-avenue-1-hdb-peZiLwUcXCpmcPKEAoPZSh
4,333 Jurong East Avenue 1,/singapore/sale/property/333-jurong-east-avenue-1-hdb-ejVyULzXTmcJs3AdF4KeKb
5,326 Ubi Avenue 1,/singapore/sale/property/326-ubi-avenue-1-hdb-FbASxaKLERRKDykTExkae4
6,35 Marsiling Drive,/singapore/sale/property/35-marsiling-drive-hdb-XTEbN5LykKHh74NfEDwZHK
7,69 Circuit Road,/singapore/sale/property/69-circuit-road-hdb-X68MdUedVseDoHnQbwupLP
8,5 Changi Village Road,/singapore/sale/property/5-changi-village-road-hdb-2B6QkvjMBuntVGxdpyH44n
9,354 Hougang Avenue 7,/singapore/sale/property/354-hougang-avenue-7-hdb-fRJAecy35DrKLvkQAd4tRc
10,288D Bukit Batok Street 25,/singapore/sale/property/288d-bukit-batok-street-25-hdb-8es7XioUxMLoqCzhsxugch
11,462 Ang Mo Kio Avenue 10,/singapore/sale/property/462-ang-mo-kio-avenue-10-hdb-WSqwHuhX3FHfTHeMjsscF3
12,146 Bishan Street 11,/singapore/sale/property/146-bishan-street-11-hdb-KkXeuM864QwmHySXYunjri
13,14 Kampong Arang Road,/singapore/sale/property/14-kampong-arang-road-hdb-kmKqk3VtjvgcverQhrsKAE
14,168A Queensway,/singapore/sale/property/168a-queensway-hdb-d6FvNpmyedzb3EqUVNtWxN
15,290G Bukit Batok Street 24,/singapore/sale/property/290g-bukit-batok-street-24-hdb-qgRiHvPws6a4rHgsF2PGfY
16,133 Edgedale Plains,/singapore/sale/property/133-edgedale-plains-hdb-iNqf8RWDiJUhhZMtcumCaY
17,180B Rivervale Crescent,/singapore/sale/property/180b-rivervale-crescent-hdb-s6svvVvzVytid5iLwEyzSP
18,331 Sembawang Close,/singapore/sale/property/331-sembawang-close-hdb-9PUaDThN2nKrAPrpAuuVCf
19,262 Tampines Street 21,/singapore/sale/property/262-tampines-street-21-hdb-yiW53hu53bnSc4rCeos9eV
20,348A Yishun Avenue 11,/singapore/sale/property/348a-yishun-avenue-11-hdb-5XapGro5Ccc9saC8kHHqUd
21,250 Kim Keat Link,/singapore/sale/property/250-kim-keat-link-hdb-Tf6bEjQ3MWzbDzYTvu8PEa
22,803 Tampines Avenue 4,/singapore/sale/property/803-tampines-avenue-4-hdb-iepWCBxkbafH3ftvnqFVo5
23,65 Telok Blangah Drive,/singapore/sale/property/65-telok-blangah-drive-hdb-CPSmSC8UWrXnHP7R2ygakF
24,110 Whampoa Road,/singapore/sale/property/110-whampoa-road-hdb-GXpoEdHbbNsuUWimjZaCmZ
25,656D Jurong West Street 61,/singapore/sale/property/656d-jurong-west-street-61-hdb-UeDb52ZvwD66uaGFQiTBqZ
26,181A Boon Lay Drive,/singapore/sale/property/181a-boon-lay-drive-hdb-aYfHgos8xi24haV78L9ZFe
27,791 Choa Chu Kang North 6,/singapore/sale/property/791-choa-chu-kang-north-6-hdb-2zRUNMyYDaKdQ9nNZZBBxT
28,586 Ang Mo Kio Avenue 3,/singapore/sale/property/586-ang-mo-kio-avenue-3-hdb-fsC2trq9fr22QyRDfq2H8h
29,272C Jurong West Street 24,/singapore/sale/property/272c-jurong-west-street-24-hdb-tzYrEwDzuXYg4zWm7uQYZP
30,350 Ang Mo Kio Street 32,/singapore/sale/property/350-ang-mo-kio-street-32-hdb-4JjnD8UYCkxUUZgTyFJRxZ
31,9 Holland Avenue,/singapore/sale/property/9-holland-avenue-hdb-FVMPv7bDAf7SARxpqGPxJF
32,817 Woodlands Street 82,/singapore/sale/property/817-woodlands-street-82-hdb-X7MEZuhvADDujr9fBdVAhi
33,213 Bishan Street 23,/singapore/sale/property/213-bishan-street-23-hdb-4v6jfquFqtwMSWuezwzvdP
34,820 Yishun Street 81,/singapore/sale/property/820-yishun-street-81-hdb-tymdWMbpTiAz2YmNubrchg
35,609 Bedok Reservoir Road,/singapore/sale/property/609-bedok-reservoir-road-hdb-4uB5GU57V3Chb3WWrCrP28
36,174D Edgedale Plains,/singapore/sale/property/174d-edgedale-plains-hdb-EAhJrPT8yeRBvbT4MVELjf
37,243 Hougang Street 22,/singapore/sale/property/243-hougang-street-22-hdb-8FVXrXrW7JYQzH3QE9gKUP
38,171 Bukit Batok West Avenue 8,/singapore/sale/property/171-bukit-batok-west-avenue-8-hdb-gJCYGUcRD7EBMdn2CE5QbR
39,321 Bukit Batok Street 33,/singapore/sale/property/321-bukit-batok-street-33-hdb-ntvf9GcQrSFj8pMgMcTTj9
40,262B Compassvale Street,/singapore/sale/property/262b-compassvale-street-hdb-N3yxvSprhSk8iamBUXTMMX
41,339A Sembawang Close,/singapore/sale/property/339a-sembawang-close-hdb-pCGjDEnSdu7KNyAMhLZ7md
