,index,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,0,412A BEDOK NORTH AVENUE 2 SINGAPORE 461412,412A,NIL,1.32887420371037,103.931642934684,103.931642934684,461412,BEDOK NORTH AVENUE 2,412A BEDOK NORTH AVENUE 2 SINGAPORE 461412,38942.4985190095,34565.8922398966,412 Bedok North Avenue 2
1,1,412 BEDOK NORTH AVENUE 2 HDB-BEDOK SINGAPORE 460412,412,HDB-BEDOK,1.32929126082804,103.931090689284,103.931090689284,460412,BEDOK NORTH AVENUE 2,HDB-BEDOK,38881.0373501168,34612.0059065744,412 Bedok North Avenue 2
2,0,181A BOON LAY DRIVE BOON LAY MEADOW SINGAPORE 641181,181A,BOON LAY MEADOW,1.34861811652173,103.708239203165,103.708239203165,641181,BOON LAY DRIVE,BOON LAY MEADOW,14080.0475595743,36749.2130725924,181A Boon Lay Drive
3,0,305 CLEMENTI AVENUE 4 CLEMENTI MEADOWS SINGAPORE 120305,305,CLEMENTI MEADOWS,1.32206108860651,103.76601401343,103.76601401343,120305,CLEMENTI AVENUE 4,CLEMENTI MEADOWS,20509.669397277,33812.4167925902,305 Clementi Avenue 4
4,1,305 CLEMENTI AVENUE 4 PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH 305 (CC) SINGAPORE 120305,305,PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH 305 (CC),1.32206109134411,103.766014023221,103.766014023221,120305,CLEMENTI AVENUE 4,PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH 305 (CC),20509.6704869234,33812.41709527,305 Clementi Avenue 4
5,0,623 ANG MO KIO AVENUE 9 YIO CHU KANG HEIGHTS SINGAPORE 560623,623,YIO CHU KANG HEIGHTS,1.38265184651409,103.840858094028,103.840858094028,560623,ANG MO KIO AVENUE 9,YIO CHU KANG HEIGHTS,28839.0522736709,40512.1332274508,623 Ang Mo Kio Avenue 9
6,0,555 JURONG WEST STREET 42 HDB-JURONG WEST SINGAPORE 640555,555,HDB-JURONG WEST,1.35366860451458,103.718853145615,103.718853145615,640555,JURONG WEST STREET 42,HDB-JURONG WEST,15261.2900388385,37307.6132414546,555 Jurong West Street 42
7,0,22A SIN MING ROAD MULTI STOREY CAR PARK SINGAPORE 571022,22A,MULTI STOREY CAR PARK,1.35746679660694,103.839106803265,103.839106803265,571022,SIN MING ROAD,MULTI STOREY CAR PARK,28644.1625682352,37727.2980255969,22 Sin Ming Road
8,1,22 SIN MING ROAD HDB-SIN MING IND EST SINGAPORE 570022,22,HDB-SIN MING IND EST,1.35728444108241,103.839396679952,103.839396679952,570022,SIN MING ROAD,HDB-SIN MING IND EST,28676.4225484978,37707.1341607403,22 Sin Ming Road
9,0,612 ANG MO KIO AVENUE 4 YIO CHU KANG GREEN SINGAPORE 560612,612,YIO CHU KANG GREEN,1.37890791374411,103.838602654716,103.838602654716,560612,ANG MO KIO AVENUE 4,YIO CHU KANG GREEN,28588.0514470731,40098.1474808901,612 Ang Mo Kio Avenue 4
10,0,631 SENJA ROAD HDB-BUKIT PANJANG SINGAPORE 670631,631,HDB-BUKIT PANJANG,1.38662658656796,103.760257710151,103.760257710151,670631,SENJA ROAD,HDB-BUKIT PANJANG,19869.2648157565,40951.7639772352,631 Senja Road
11,1,631 SENJA ROAD ICHIBAN MONTESSORI KIDDIE KOLLEGE PTE. LTD. SINGAPORE 670631,631,ICHIBAN MONTESSORI KIDDIE KOLLEGE PTE. LTD.,1.38647806662621,103.760256469034,103.760256469034,670631,SENJA ROAD,ICHIBAN MONTESSORI KIDDIE KOLLEGE PTE. LTD.,19869.1261883896,40935.3413865045,631 Senja Road
12,0,687D CHOA CHU KANG DRIVE HDB-CHOA CHU KANG SINGAPORE 684687,687D,HDB-CHOA CHU KANG,1.40368580815329,103.751581291592,103.751581291592,684687,CHOA CHU KANG DRIVE,HDB-CHOA CHU KANG,18903.7559073039,42838.1197799574,687D Choa Chu Kang Drive
