,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,stn_name
0,38 TOA PAYOH RISE CALDECOTT MRT STATION SINGAPORE 298113,38,CALDECOTT MRT STATION,1.33734722320216,103.839544077561,103.839544077561,298113,TOA PAYOH RISE,CALDECOTT MRT STATION,28692.8318213134,35502.5785213895,Caldecott MRT STATION
0,1 JALAN KELI UPPER THOMSON MRT STATION SINGAPORE 577937,1,UPPER THOMSON MRT STATION  (TE8),1.35441643365404,103.832898468504,103.832898468504,577937,JALAN KELI,UPPER THOMSON MRT STATION  (TE8),27953.2465030758,37390.0036919769,Upper Thomson MRT STATION
0,100 SIN MING AVENUE BRIGHT HILL MRT STATION SINGAPORE 575737,100,BRIGHT HILL MRT STATION  (TE7),1.36348433697307,103.833125134511,103.833125134511,575737,SIN MING AVENUE,BRIGHT HILL MRT STATION  (TE7),27978.4719315095,38392.6861943621,Bright Hill MRT STATION
0,91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION SINGAPORE 569900,91,MAYFLOWER MRT STATION  (TE6),1.37146318831016,103.836567766945,103.836567766945,569900,ANG MO KIO AVENUE 4,MAYFLOWER MRT STATION  (TE6),28361.5950495447,39274.9471905809,Mayflower MRT STATION
0,1 LENTOR DRIVE LENTOR MRT STATION SINGAPORE 789361,1,LENTOR MRT STATION  (TE5),1.38550657972174,103.835743809669,103.835743809669,789361,LENTOR DRIVE,LENTOR MRT STATION  (TE5),28269.8970729576,40827.793943461,Lentor MRT STATION
0,825 UPPER THOMSON ROAD SPRINGLEAF MRT STATION SINGAPORE 787140,825,SPRINGLEAF MRT STATION  (TE4),1.39758106126826,103.817856949947,103.817856949947,787140,UPPER THOMSON ROAD,SPRINGLEAF MRT STATION  (TE4),26279.3279363979,42162.9344399553,Springleaf MRT STATION
0,SUNGEI BEDOK MRT STATION SINGAPORE,,SUNGEI BEDOK MRT STATION  (TE31 / DT37),1.32039875964086,103.957242034272,103.957242034272,NIL,NIL,SUNGEI BEDOK MRT STATION  (TE31 / DT37),41791.4682186128,33628.8470406532,Sungei Bedok MRT STATION
0,BEDOK SOUTH MRT STATION SINGAPORE,,BEDOK SOUTH MRT STATION  (TE30),1.31688894072416,103.949065273013,103.949065273013,NIL,NIL,BEDOK SOUTH MRT STATION  (TE30),40881.4914350634,33240.7046434153,Bedok South MRT STATION
0,130 WOODLANDS AVENUE 1 WOODLANDS SOUTH MRT STATION SINGAPORE 739070,130,WOODLANDS SOUTH MRT STATION  (TE3),1.42743341642556,103.793244601784,103.793244601784,739070,WOODLANDS AVENUE 1,WOODLANDS SOUTH MRT STATION  (TE3),23540.3600501032,45463.890340833,Woodlands South MRT STATION
0,BAYSHORE MRT STATION SINGAPORE,,BAYSHORE MRT STATION  (TE29),1.31259162875393,103.940968762692,103.940968762692,NIL,NIL,BAYSHORE MRT STATION  (TE29),39980.4472480665,32765.4887634832,Bayshore MRT STATION
