,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,stn_name
0,XILIN AVENUE,,XILIN MRT STATION  (DT36),1.3289069493886,103.964902569595,103.964902569595,NIL,XILIN AVENUE,XILIN MRT STATION  (DT36),42643.9623781198,34569.6853025444,XILIN MRT STATION
0,PUNGGOL COAST MRT STATION SINGAPORE,,PUNGGOL COAST MRT STATION  (NE18),1.41530686827258,103.91059459638,103.91059459638,NIL,NIL,PUNGGOL COAST MRT STATION  (NE18),36599.7228002213,44123.1020807195,PUNGGOL COAST MRT STATION
0,PASIR RIS MRT STATION EXIT A SINGAPORE,,PASIR RIS MRT STATION EXIT A,1.37284196938315,103.94933342667,103.94933342667,NIL,NIL,PASIR RIS MRT STATION EXIT A,40911.0404028293,39427.718633458,PASIR RIS MRT STATION
1,PASIR RIS MRT STATION EXIT B SINGAPORE,,PASIR RIS MRT STATION EXIT B,1.37288623654738,103.949136940627,103.949136940627,NIL,NIL,PASIR RIS MRT STATION EXIT B,40889.1736309395,39432.6124216001,PASIR RIS MRT STATION
2,10 PASIR RIS CENTRAL PASIR RIS MRT STATION SINGAPORE 519634,10,PASIR RIS MRT STATION  (EW1),1.37304321206227,103.949284605816,103.949284605816,519634,PASIR RIS CENTRAL,PASIR RIS MRT STATION  (EW1),40905.6061495684,39449.9708075822,PASIR RIS MRT STATION
3,10 PASIR RIS CENTRAL DBS Pasir Ris MRT Station SINGAPORE 519634,10,DBS Pasir Ris MRT Station,1.3730080504632,103.949265083922,103.949265083922,519634,PASIR RIS CENTRAL,DBS Pasir Ris MRT Station,40903.4337861076,39446.0827034656,PASIR RIS MRT STATION
4,10 PASIR RIS CENTRAL UOB Pasir Ris MRT Station SINGAPORE 519634,10,UOB Pasir Ris MRT Station,1.3730080504632,103.949265083922,103.949265083922,519634,PASIR RIS CENTRAL,UOB Pasir Ris MRT Station,40903.4337861076,39446.0827034656,PASIR RIS MRT STATION
0,80 HOUGANG CENTRAL HOUGANG MRT STATION SINGAPORE 538758,80,HOUGANG MRT STATION,1.37033472429162,103.892261757937,103.892261757937,538758,HOUGANG CENTRAL,HOUGANG MRT STATION,34559.6618478595,39150.2477892023,HOUGANG MRT STATION
0,9A SERANGOON NORTH AVENUE 5 FILLING STATION AT SERANGOON NORTH SINGAPORE 554500,9A,FILLING STATION AT SERANGOON NORTH,1.3757356117407,103.869103471495,103.869103471495,554500,SERANGOON NORTH AVENUE 5,FILLING STATION AT SERANGOON NORTH,31982.415707762,39747.3996338677,SERANGOON NORTH MRT STATION
0,2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION SINGAPORE 569812,2795,ANG MO KIO MRT STATION,1.36942855699193,103.849455226442,103.849455226442,569812,ANG MO KIO AVENUE 8,ANG MO KIO MRT STATION,29795.8137953628,39049.9738031812,ANG MO KIO MRT STATION
0,100 SIN MING AVENUE BRIGHT HILL MRT STATION SINGAPORE 575737,100,BRIGHT HILL MRT STATION  (TE7),1.36348433697307,103.833125134511,103.833125134511,575737,SIN MING AVENUE,BRIGHT HILL MRT STATION  (TE7),27978.4719315095,38392.6861943621,Bright Hill MRT STATION
0,11 CANBERRA LINK CANBERRA MRT STATION SINGAPORE 756972,11,CANBERRA MRT STATION  (NS12),1.44313674343117,103.829711783774,103.829711783774,756972,CANBERRA LINK,CANBERRA MRT STATION  (NS12),27598.6199652801,47200.2467334327,CANBERRA MRT STATION
