STN_NAME,STN_NO,LINE_SEQ,X,Y,Latitude,Longitude,COLOR,Line,Current,ready by 2019,ready by 2020,ready by 2021,ready by 2023,ready by 2024,ready by 2025,ready by 2029
Caldecott MRT STATION,TE9,9,28692.83182,35502.57852,1.337347223,103.8395441,,Thomson-East Coast Line,0,,1,,,,,
Upper Thomson MRT STATION,TE8,8,27953.2465,37390.00369,1.354416434,103.8328985,,Thomson-East Coast Line,0,,1,,,,,
Bright Hill MRT STATION,TE7,7,27978.47193,38392.68619,1.363484337,103.8331251,,Thomson-East Coast Line,0,,1,,,,,
Mayflower MRT STATION,TE6,6,28361.59505,39274.94719,1.371463188,103.8365678,,Thomson-East Coast Line,0,,1,,,,,
Lentor MRT STATION,TE5,5,28269.89707,40827.79394,1.38550658,103.8357438,,Thomson-East Coast Line,0,,1,,,,,
Springleaf MRT STATION,TE4,4,26279.32794,42162.93444,1.397581061,103.8178569,,Thomson-East Coast Line,0,,1,,,,,
Sungei Bedok MRT STATION,TE31,31,41791.46822,33628.84704,1.32039876,103.957242,,Thomson-East Coast Line,0,,,,,1,,
Bedok South MRT STATION,TE30,30,40881.49144,33240.70464,1.316888941,103.9490653,,Thomson-East Coast Line,0,,,,,1,,
Woodlands South MRT STATION,TE3,3,23540.36005,45463.89034,1.427433416,103.7932446,,Thomson-East Coast Line,0,1,,,,,,
Bayshore MRT STATION,TE29,29,39980.44725,32765.48876,1.312591629,103.9409688,,Thomson-East Coast Line,0,,,,1,,,
Siglap MRT STATION,TE28,28,38762.61178,32479.8152,1.310008551,103.9300258,,Thomson-East Coast Line,0,,,,1,,,
Marine Terrace MRT STATION,TE27,27,37116.26698,32120.84427,1.306762679,103.9152325,,Thomson-East Coast Line,0,,,,1,,,
Marine Parade MRT STATION,TE26,26,35973.25638,31663.85468,1.302630145,103.9049619,,Thomson-East Coast Line,0,,,,1,,,
Tanjong Katong MRT STATION,TE25,25,35128.21199,31297.73082,1.299319257,103.8973687,,Thomson-East Coast Line,0,,,,1,,,
Katong Park MRT STATION,TE24,24,33871.90267,31146.06464,1.297947905,103.8860802,,Thomson-East Coast Line,0,,,,1,,,
Tanjong Rhu MRT STATION,TE23,23,32470.54125,31065.35389,1.297218218,103.8734884,,Thomson-East Coast Line,0,,,,1,,,
Gardens by the Bay MRT STATION,TE22,22,31799.07218,28994.17088,1.278487259,103.8674547,,Thomson-East Coast Line,0,,,1,,,,
Marina South MRT STATION,TE21,21,31367.22626,28559.32995,1.274554759,103.8635743,,Thomson-East Coast Line,0,,,1,,,,
Marina Bay MRT STATION,TE20,20,30369.00687,28753.5319,1.276311144,103.854605,,Thomson-East Coast Line,0,,,1,,,,
Woodlands MRT STATION,TE2,2,22716.83093,46477.10646,1.436596431,103.7858442,,Thomson-East Coast Line,0,,,,,,,
Shenton Way MRT STATION,TE19,19,29897.41915,28908.96172,1.277716828,103.8503676,,Thomson-East Coast Line,0,,,1,,,,
Maxwell MRT STATION,TE18,18,29175.80884,29220.38855,1.280533298,103.8438837,,Thomson-East Coast Line,0,,,1,,,,
Outram Park MRT STATION,TE17,17,28749.38625,29188.12518,1.280241533,103.8400521,,Thomson-East Coast Line,0,,,1,,,,
Havelock MRT STATION,TE16,16,28029.74366,30101.88222,1.28850524,103.8335858,,Thomson-East Coast Line,0,,,1,,,,
Great World MRT STATION,TE15,15,28044.76787,30703.73245,1.293948162,103.8337208,,Thomson-East Coast Line,0,,,1,,,,
Orchard MRT STATION,TE14,14,27922.21135,31854.40054,1.304354399,103.8326196,,Thomson-East Coast Line,0,,,1,,,,
Orchard Boulevard MRT STATION,TE13,13,26948.29454,31640.75525,1.302422248,103.8238685,,Thomson-East Coast Line,0,,,1,,,,
Napier MRT STATION,TE12,12,26402.80266,32122.95592,1.306783078,103.818967,,Thomson-East Coast Line,0,,,1,,,,
Stevens MRT STATION,TE11,11,27150.38088,33620.81352,1.320329203,103.8256843,,Thomson-East Coast Line,0,,,1,,,,
Mount Pleasant MRT STATION,TE10,10,28152.43078,34526.28235,1.328517954,103.8346883,,Thomson-East Coast Line,0,,,1,,,,
Woodlands North MRT STATION,TE1,1,22699.99124,47770.39457,1.448292453,103.7856927,,Thomson-East Coast Line,0,1,,,,,,
Founders' Memorial[20],TE22A,22,,,,,,Thomson-East Coast Line,0,,,,,,1,
RENJONG LRT STATION,SW8,8,34367.9437,40962.4782,1.386723922,103.8905227,LRT,LRT,1,,,,,,,
TONGKANG LRT STATION,SW7,7,33845.4132,41252.6183,1.389347953,103.8858287,LRT,LRT,1,,,,,,,
LAYAR LRT STATION,SW6,6,33198.3233,41554.6829,1.392079839,103.8800158,LRT,LRT,1,,,,,,,
FERNVALE LRT STATION,SW5,5,32784.2264,41533.2289,1.391885888,103.8762959,LRT,LRT,1,,,,,,,
THANGGAM LRT STATION,SW4,4,32709.2689,42133.9003,1.397318155,103.8756226,LRT,LRT,1,,,,,,,
KUPANG LRT STATION,SW3,3,33334.8164,42232.8408,1.398212828,103.881242,LRT,LRT,1,,,,,,,
FARMWAY LRT STATION,SW2,2,34230.5193,42117.5716,1.397170196,103.8892882,LRT,LRT,1,,,,,,,
CHENG LIM LRT STATION,SW1,1,34730.4628,42018.8886,1.396277631,103.8937792,LRT,LRT,1,,,,,,,
SENGKANG LRT STATION,STC,,34913.5879,41502.6997,1.391609364,103.8954243,LRT,LRT,1,,,,,,,
RANGGUNG LRT STATION,SE5,5,35108.5942,40687.1255,1.384233561,103.897176,LRT,LRT,1,,,,,,,
KANGKAR LRT STATION,SE4,4,35662.73,40658.9821,1.383978902,103.9021539,LRT,LRT,1,,,,,,,
BAKAU LRT STATION,SE3,3,36026.0821,41113.8766,1.388092704,103.9054179,LRT,LRT,1,,,,,,,
RUMBIA LRT STATION,SE2,2,36085.5526,41487.1568,1.391468497,103.9059522,LRT,LRT,1,,,,,,,
COMPASSVALE LRT STATION,SE1,1,35475.5631,41821.5783,1.394493046,103.9004726,LRT,LRT,1,,,,,,,
SOO TECK LRT STATION,PW7,7,35110.1988,42993.1699,1.405088585,103.8971904,LRT,LRT,1,,,,,,,
SUMANG LRT STATION,PW6,6,35260.2918,43365.1308,1.408452426,103.8985387,LRT,LRT,1,,,,,,,
NIBONG LRT STATION,PW5,5,35455.6286,43743.0854,1.411870458,103.9002935,LRT,LRT,1,,,,,,,
SAMUDERA LRT STATION,PW4,4,35660.6597,44188.8482,1.415901719,103.9021353,LRT,LRT,1,,,,,,,
PUNGGOL POINT LRT STATION,PW3,3,36160.8276,44293.5561,1.41684852,103.9066284,LRT,LRT,1,,,,,,,
TECK LEE LRT STATION,PW2,2,36152.6993,43842.6721,1.412770894,103.9065554,LRT,LRT,1,,,,,,,
SAM KEE LRT STATION,PW1,1,35958.3967,43493.447,1.409612685,103.9048099,LRT,LRT,1,,,,,,,
PUNGGOL LRT STATION,PTC,C,35689.139,43004.9202,1.405194701,103.9023911,LRT,LRT,1,,,,,,,
DAMAI LRT STATION,PE7,7,36378.1828,43009.3794,1.405234836,103.9085809,LRT,LRT,1,,,,,,,
OASIS LRT STATION,PE6,6,36837.1178,42683.4018,1.402286677,103.9127036,LRT,LRT,1,,,,,,,
KADALOOR LRT STATION,PE5,5,37255.4884,42384.6619,1.399584853,103.9164619,LRT,LRT,1,,,,,,,
RIVIERA LRT STATION,PE4,4,37219.8293,41825.1114,1.394524496,103.9161415,LRT,LRT,1,,,,,,,
CORAL EDGE LRT STATION,PE3,3,36820.8455,41757.0642,1.393909226,103.9125574,LRT,LRT,1,,,,,,,
MERIDIAN LRT STATION,PE2,2,36416.7925,42089.0886,1.396912053,103.9089277,LRT,LRT,1,,,,,,,
COVE LRT STATION,PE1,1,36084.2293,42351.1334,1.399281985,103.9059403,LRT,LRT,1,,,,,,,
WOODLANDS MRT STATION,NS9,9,22788.1527,46507.9219,1.436875128,103.7864999,RED,North South Line,1,,,,,,,
MARSILING MRT STATION,NS8,8,21406.6874,46025.7686,1.432514421,103.77409,RED,North South Line,1,,,,,,,
KRANJI MRT STATION,NS7,7,20081.6974,45214.5479,1.425177699,103.7621874,RED,North South Line,1,,,,,,,
YEW TEE MRT STATION,NS5,5,18438.9791,42158.0124,1.397535018,103.7474307,RED,North South Line,1,,,,,,,
