,rank_2018,primary_school_name,total_vacancy,percentage_balance_vacancy,balance_vacancy,primary_school_name_clean,index,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
0,1, Nanyang Primary School ,370,5.10%, 20/390, Nanyang Primary School ,0,52 KING'S ROAD NANYANG PRIMARY SCHOOL SINGAPORE 268097,52,NANYANG PRIMARY SCHOOL,1.32084749904534,103.807750155296,103.807750155296,268097,KING'S ROAD,NANYANG PRIMARY SCHOOL,25154.487211477,33678.1373927575
1,2, Tao Nan School ,318,11.70%, 42/360, Tao Nan School ,0,49 MARINE CRESCENT TAO NAN SCHOOL SINGAPORE 449761,49,TAO NAN SCHOOL,1.30528528687323,103.911553152326,103.911553152326,449761,MARINE CRESCENT,TAO NAN SCHOOL,36706.7907984033,31957.468684243
2,3, Ai Tong School ,310,6.10%, 20/330, Ai Tong School ,0,100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646,100,AI TONG SCHOOL,1.36058343389044,103.833020333986,103.833020333986,579646,BRIGHT HILL DRIVE,AI TONG SCHOOL,27966.8088298794,38071.9191181604
3,4, Maha Bodhi School ,300,9.10%, 30/330, Maha Bodhi School ,0,10 UBI AVENUE 1 MAHA BODHI SCHOOL SINGAPORE 408931,10,MAHA BODHI SCHOOL,1.32847086658388,103.901298737314,103.901298737314,408931,UBI AVENUE 1,MAHA BODHI SCHOOL,35565.4979411997,34521.1796176508
4,5, Rosyth School ,280,6.70%, 20/300, Rosyth School ,0,21 SERANGOON NORTH AVENUE 4 ROSYTH SCHOOL SINGAPORE 555855,21,ROSYTH SCHOOL,1.37289067499066,103.875001549174,103.875001549174,555855,SERANGOON NORTH AVENUE 4,ROSYTH SCHOOL,32638.8043574635,39432.831561802
5,6, Pei Chun Public School ,280,6.70%, 20/300, Pei Chun Public School ,0,16 LORONG 7 TOA PAYOH PEI CHUN PUBLIC SCHOOL (U/C) SINGAPORE 319320,16,PEI CHUN PUBLIC SCHOOL (U/C),1.33733445562888,103.855631503218,103.855631503218,319320,LORONG 7 TOA PAYOH,PEI CHUN PUBLIC SCHOOL (U/C),30483.1913818875,35501.1771440115
6,7, Henry Park Primary School ,278,7.30%, 22/300, Henry Park Primary School ,0,1 HOLLAND GROVE ROAD HENRY PARK PRIMARY SCHOOL SINGAPORE 278790,1,HENRY PARK PRIMARY SCHOOL,1.31667646178349,103.784296227747,103.784296227747,278790,HOLLAND GROVE ROAD,HENRY PARK PRIMARY SCHOOL,22544.2873791987,33216.964525478
7,8, Chongfu School ,264,12.00%, 36/300, Chongfu School ,0,170 YISHUN AVENUE 6 CHONGFU SCHOOL SINGAPORE 768959,170,CHONGFU SCHOOL,1.43839562897008,103.839309173817,103.839309173817,768959,YISHUN AVENUE 6,CHONGFU SCHOOL,28666.6613053568,46675.9986570291
8,9, Mee Toh School ,261,27.50%, 99/360, Mee Toh School ,0,21 EDGEDALE PLAINS MEE TOH SCHOOL SINGAPORE 828867,21,MEE TOH SCHOOL,1.39461845385922,103.908589494228,103.908589494228,828867,EDGEDALE PLAINS,MEE TOH SCHOOL,36376.6569616916,41835.4725095052
9,10, St. Hilda’s Primary School ,250,7.40%, 20/270, Saint Hilda Primary School ,0,2 TAMPINES AVENUE 3 SAINT HILDA'S PRIMARY SCHOOL SINGAPORE 529706,2,SAINT HILDA'S PRIMARY SCHOOL,1.34938565036338,103.937007133662,103.937007133662,529706,TAMPINES AVENUE 3,SAINT HILDA'S PRIMARY SCHOOL,39539.3839146132,36833.9711756036
